price,miles,year,previous_owners,body_type,engine,doors,seats,brand,model,age,brand_freq,model_freq,body_type_freq,service_history_True,gearbox_Manual,fuel_type_Diesel Hybrid,fuel_type_Electric,fuel_type_Petrol,fuel_type_Petrol Hybrid,fuel_type_Petrol Plug-in Hybrid,emission_class_Euro 2,emission_class_Euro 3,emission_class_Euro 4,emission_class_Euro 5,emission_class_Euro 6,emission_class_Unknown
6900,70189,2016,3.0,Hatchback,1.4,3.0,4.0,SKODA,Fabia,7,0.01736015431248278,0.010195646183521631,0.618627721135299,False,True,False,False,False,False,False,False,False,False,False,True,False
1495,88585,2008,4.0,Hatchback,1.4,3.0,4.0,Vauxhall,Corsa,15,0.14907688068338384,0.060347203086249655,0.618627721135299,True,True,False,False,True,False,False,False,False,True,False,False,False
949,137000,2011,0.0,Hatchback,1.4,3.0,4.0,Hyundai,i30,12,0.025626894461284102,0.005786718104160926,0.618627721135299,False,True,False,False,True,False,False,False,False,False,True,False,False
2395,96731,2010,5.0,Hatchback,1.8,4.0,5.0,MINI,Hatch,13,0.026453568476164233,0.02149352438688344,0.618627721135299,True,True,False,False,True,False,False,False,False,True,False,False,False
1000,85000,2013,0.0,Hatchback,1.9,4.0,5.0,Vauxhall,Corsa,10,0.14907688068338384,0.060347203086249655,0.618627721135299,False,True,False,False,False,False,False,False,False,False,True,False,False
800,124196,2007,3.0,Coupe,2.4,4.0,5.0,Hyundai,Coupe,16,0.025626894461284102,0.0008266740148801323,0.037475888674566,False,True,False,False,True,False,False,False,False,True,False,False,False
798,140599,2008,0.0,Hatchback,2.4,3.0,4.0,Ford,Focus,15,0.1118765500137779,0.04408928079360706,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
1995,90000,2009,0.0,Hatchback,2.0,2.0,5.0,Vauxhall,Corsa,14,0.14907688068338384,0.060347203086249655,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
1299,87000,2008,5.0,Hatchback,1.4,5.0,5.0,Peugeot,207,15,0.06530724717553045,0.012951226233122072,0.618627721135299,False,True,False,False,False,False,False,False,False,True,False,False,False
1495,181693,2009,0.0,Hatchback,1.4,5.0,5.0,Ford,Fiesta,14,0.1118765500137779,0.0349958666299256,0.618627721135299,True,True,False,False,False,False,False,False,False,True,False,False,False
2950,79000,2011,4.0,Hatchback,1.6,5.0,5.0,Vauxhall,Insignia,12,0.14907688068338384,0.01212455221824194,0.618627721135299,False,True,False,False,True,False,False,False,False,False,True,False,False
6900,70189,2016,3.0,Hatchback,1.6,5.0,5.0,SKODA,Fabia,7,0.01736015431248278,0.010195646183521631,0.618627721135299,False,True,False,False,False,False,False,False,False,False,False,True,False
19800,69690,2019,1.0,Saloon,1.4,3.0,4.0,BMW,3 Series,4,0.07357398732433178,0.029209148525764672,0.09947643979057591,False,False,False,False,False,False,True,False,False,False,False,True,False
1100,164985,2008,0.0,Hatchback,1.4,3.0,4.0,Citroen,C1,15,0.025626894461284102,0.0038578120694406173,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
1295,109000,2007,0.0,Hatchback,1.4,3.0,4.0,Vauxhall,Corsa,16,0.14907688068338384,0.060347203086249655,0.618627721135299,False,True,False,False,True,False,False,False,False,True,False,False,False
999,111400,2007,2.0,Hatchback,1.4,3.0,4.0,Peugeot,207,16,0.06530724717553045,0.012951226233122072,0.618627721135299,False,True,False,False,False,False,False,False,False,True,False,False,False
1289,135000,2010,0.0,Hatchback,1.4,3.0,4.0,Citroen,C4,13,0.025626894461284102,0.002480022044640397,0.618627721135299,False,True,False,False,False,False,False,False,False,True,False,False,False
1200,134000,2004,5.0,Hatchback,1.4,3.0,4.0,Vauxhall,Astra,19,0.14907688068338384,0.041884816753926704,0.618627721135299,False,False,False,False,True,False,False,False,False,True,False,False,False
1949,114000,2013,0.0,Hatchback,1.4,3.0,4.0,Citroen,C4,10,0.025626894461284102,0.002480022044640397,0.618627721135299,False,True,False,False,False,False,False,False,False,False,True,False,False
1195,101000,2010,3.0,Hatchback,1.3,3.0,4.0,Ford,Mondeo,13,0.1118765500137779,0.008542298153761367,0.618627721135299,False,True,False,False,False,False,False,False,False,True,False,False,False
14498,53055,2019,0.0,Hatchback,1.4,3.0,4.0,Mercedes-Benz,A180,4,0.04519151281344723,0.0002755580049600441,0.618627721135299,False,True,False,False,True,False,False,False,False,False,False,True,False
1995,89000,2007,0.0,Coupe,1.4,3.0,5.0,Peugeot,407,16,0.06530724717553045,0.002480022044640397,0.037475888674566,False,False,False,False,True,False,False,False,False,True,False,False,False
990,69000,2003,3.0,Hatchback,1.6,5.0,5.0,Ford,KA,20,0.1118765500137779,0.005511160099200882,0.618627721135299,False,True,False,False,True,False,False,False,True,False,False,False,False
2950,79000,2011,4.0,Hatchback,1.4,3.0,4.0,Vauxhall,Insignia,12,0.14907688068338384,0.01212455221824194,0.618627721135299,False,True,False,False,True,False,False,False,False,False,True,False,False
15900,62402,2019,1.0,Hatchback,1.4,5.0,5.0,Mercedes-Benz,A Class,4,0.04519151281344723,0.010471204188481676,0.618627721135299,False,False,False,False,True,False,False,False,False,False,False,True,False
