index,year,model,seats
8,1989,Volvo 740,5
106,1995,Citroen XM,5
227,1991,Mercedes-Benz 260,5
235,1972,MG Midget,2
511,2012,Nissan Lafesta,7
643,1990,Rover Mini,4
677,2007,BMW 3 Series,5
697,2001,Mitsubishi FTO,2
731,1990,Toyota Camry,5
821,2012,Volkswagen Polo,5
833,2021,Toyota Mark X,5
854,2007,Nissan Cubic,5
929,1999,BMW 3 Series,5
1004,1992,Saab 900,5
1051,1996,Volkswagen Golf,5
1237,1985,Nissan Sunny,5
1302,2015,Mazda Mazda6,5
1351,1987,BMW 3 Series,5
1379,1990,Citroen BX,5
1531,2015,Citroen C1,4
1615,2017,SEAT Leon,5
1617,2007,Ford KA,4
1861,2015,BMW 5 Series,5
2020,2012,Audi A3,5
2024,1995,Proton Proton,5
2134,2012,Toyota Prius,5
2454,2010,Vauxhall Combo,2
2510,2003,Mitsubishi GTO,2
2521,2015,Fiat 500L,5
2717,2014,Vauxhall Astra GTC,4
3022,1953,Lagonda LG6 Roadster,2
3114,1988,Volkswagen Golf,5
3462,1991,Toyota Carina,5
3675,1995,Rover 800,5
